list,left,right,ExpectedResult
"[5,6,2004,-21,40]",0,4,"[-21,5,6,40,2004]"
"[5,6,2004,-21,40,-3147483649]",0,5,"Lỗi tại ô E1 do giá trị phần tử vượt quá sức chứa của int là -2147483648"
"[5,6,2004,-21,40,3147483647]",0,5,"Lỗi tại ô E2 do giá trị phần tử vượt quá sức chứa của int là 2147483647"
"[5,6,2004,-21,40]",-10,5,"Lỗi tại ô E3 do left < 0"
"[5,6,2004,-21,40]",6,5,"[5,6,2004,-21,40]"
"[5,6,2004,-21,40]",0,2147483648,"Lỗi tại ô E4 do giá trị right vượt quá sức chứa của int là 2147483647"
"[5,6,2004,-21,40,-2147483648]",0,0,"[-2147483647,-21,5,6,40,2004]"
"[5,6,2004,-21,40,2147483647]",2147483647,2147483647,"[-21,5,6,40,2004,2147483647]"
"[5,6,2004,-21,40,-2147483649]",0,10,"Lỗi tại ô E5 do giá trị phần tử vượt quá sức chứa của int là -2147483648"
"[5,6,2004,-21,40,2147483648]",0,10,"Lỗi tại ô E6 do giá trị phần tử vượt quá sức chứa của int là 2147483647"
"[5,6,2004,-21,40]",-1,10,"Lỗi tại ô E7 do left < 0"
"[5,6,2004,-21,40]",11,10,"[5,6,2004,-21,40]"
"[5,6,2004,-21,40]",0,2147483648,"Lỗi tại ô E8 do giá trị right vượt quá sức chứa của int là 2147483647"
